query,intent
What is my current leave balance?,leave_balance
Can you tell me how many leave days I have left?,leave_balance
How much annual leave do I have remaining?,leave_balance
Please provide my sick leave balance.,leave_balance
How many vacation days do I still have?,leave_balance
What is the total number of leave days I can take this year?,leave_balance
Can you check my leave balance for me?,leave_balance
I want to know my leave entitlement.,leave_balance
How many personal leave days do I have left?,leave_balance
What is the balance of my PTO (Paid Time Off)?,leave_balance
Can you show me my leave balance summary?,leave_balance
How many leave days do I have accrued?,leave_balance
What is my current balance for unpaid leave?,leave_balance
Can you tell me my leave balance as of today?,leave_balance
How much leave do I have left for this quarter?,leave_balance
What is my leave balance for the current month?,leave_balance
How many leave days can I still take this year?,leave_balance
What is my balance for maternity leave?,leave_balance
Can you provide details on my leave balance?,leave_balance
How many leave days do I have left until the end of the year?,leave_balance
What is the status of my leave balance?,leave_balance
Can you give me an update on my leave days?,leave_balance
How many leave hours do I have left?,leave_balance
What is the remaining balance of my leave days?,leave_balance
Can you tell me my leave balance for the last year?,leave_balance
How many leave days do I have left to use?,leave_balance
What is my leave balance for the next pay period?,leave_balance
How many sick days do I have remaining?,leave_balance
What is my leave balance for the upcoming holiday season?,leave_balance
Can you check my leave balance for the last quarter?,leave_balance
What is my leave balance as of the end of last month?,leave_balance
How many leave days do I have available?,leave_balance
Can you tell me my leave balance for this fiscal year?,leave_balance
What is my leave balance for the current year?,leave_balance
How many leave days do I have left to carry over?,leave_balance
What is my leave balance for the next calendar year?,leave_balance
Can you provide my leave balance for the last six months?,leave_balance
How many leave days do I have remaining for this month?,leave_balance
What is my leave balance for the current payroll cycle?,leave_balance
Can you tell me my leave balance for the last two years?,leave_balance
How many leave days do I have left until my anniversary date?,leave_balance
What is my leave balance for the upcoming year?,leave_balance
Can you provide my leave balance for the past year?,leave_balance
How many leave days do I have left to take this year?,leave_balance
What is my leave balance for the next month?,leave_balance
Can you tell me how many leave days I have left this quarter?,leave_balance
What is my leave balance for the current semester?,leave_balance
How many leave days do I have left for the rest of the year?,leave_balance
Can you check my leave balance for the upcoming month?,leave_balance
What is my leave balance for the current leave year?,leave_balance
How many leave days do I have left for this pay cycle?,leave_balance
Can you tell me my total leave balance?,leave_balance
What is my leave balance for the next pay period?,leave_balance
What is my current leave balance?,leave_balance
Can you tell me how many leave days I have left?,leave_balance
How much annual leave do I have remaining?,leave_balance
Show me my sick leave balance.,leave_balance
What is the total number of leave days I can take this year?,leave_balance
How many vacation days do I have left?,leave_balance
Can I check my leave balance?,leave_balance
What is my personal leave balance?,leave_balance
How many paid leave days do I have remaining?,leave_balance
Can you provide my leave balance summary?,leave_balance
