text,intent,task,slots,role
Can you tell me my leave balance summary for this year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
I need to check how many vacation days I have left.,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
What does my leave history look like for the past few months?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025""}",employee
Could you provide details on my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
"I think I have some sick leave left, can you confirm?",leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
What is my total leave balance for this year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
How many personal leave days do I still have?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Can you show me my leave history for the last year?,leave_balance,leave_history,"{""year"": ""2024""}",employee
I’d like to know about my approved leaves coming up.,leave_balance,upcoming_approved_leaves,{},employee
What’s my remaining balance for vacation days?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can you remind me how many sick days I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
"I think I used up my personal leave, can you check?",leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
What’s my leave balance summary for the last quarter?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
Could you provide my leave history for the last six months?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025""}",employee
Can you tell me if I have any upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
How many vacation days do I have left to use?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
"I’d like to see my leave history for the past year, please.",leave_balance,leave_history,"{""year"": ""2024""}",employee
What’s my balance for sick leave right now?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you check my upcoming approved leaves for me?,leave_balance,upcoming_approved_leaves,{},employee
"I think I have some personal leave left, can you verify?",leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Can you summarize my leave balance for this year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
What’s my leave history for the last few months?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025""}",employee
Could you let me know about my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
How many vacation days do I have remaining?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can you remind me of my sick leave balance?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
I’d like to check my leave history for the past year.,leave_balance,leave_history,"{""year"": ""2024""}",employee
Can you tell me if there are any upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
What’s my leave balance summary for the current year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
Can you provide my leave history for the last six months?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025""}",employee
"I need to know about my upcoming approved leaves, please.",leave_balance,upcoming_approved_leaves,{},employee
How many vacation days do I have left to take?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can you check my sick leave balance?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
What does my leave history look like for the past year?,leave_balance,leave_history,"{""year"": ""2024""}",employee
Could you let me know if I have any upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
"I think I have some personal leave left, can you confirm?",leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Could you tell me my leave balance summary for this year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
What’s my sick leave balance looking like?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you provide me with a summary of my leave history?,leave_balance,leave_history,{},employee
"I’m curious about my upcoming approved leaves, can you help?",leave_balance,upcoming_approved_leaves,{},employee
"I think I might have some vacation days left, can you check?",leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
What’s the status of my sick leave balance?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you remind me how many leave days I have remaining?,leave_balance,leave_balance_summary,{},employee
What are the details of my upcoming leaves?,leave_balance,upcoming_approved_leaves,{},employee
Could you summarize my leave balance for this month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
How many personal leave days do I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Can you check my leave history for the last three months?,leave_balance,leave_history,{},employee
"I think I have some approved leaves coming up, can you confirm?",leave_balance,upcoming_approved_leaves,{},employee
What’s my leave balance for this quarter?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
Can you tell me how many sick leave days I have used?,leave_balance,leave_history,"{""leave_type"": ""sick""}",employee
"I’d like to know my leave balance by type, please.",leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can you provide a summary of my leave balance for the year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
What’s the total number of leave days I have left?,leave_balance,leave_balance_summary,{},employee
Could you give me the details of my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
I need to check my leave history for any past requests.,leave_balance,leave_history,{},employee
Can you tell me how many vacation days I have remaining?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Could you summarize my sick leave balance for this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick"", ""year"": ""2025""}",employee
"I’m looking for a summary of my leave balance, can you assist?",leave_balance,leave_balance_summary,{},employee
What’s my leave balance for personal days?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Can you provide me with my leave history for the last year?,leave_balance,leave_history,"{""year"": ""2025""}",employee
"I’d like to know about my upcoming approved leaves, please.",leave_balance,upcoming_approved_leaves,{},employee
Could you check my leave balance for this month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
How many sick leave days do I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you remind me of my leave history for the past few months?,leave_balance,leave_history,{},employee
What are my upcoming leaves looking like?,leave_balance,upcoming_approved_leaves,{},employee
Can you tell me how many vacation days I have left this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation"", ""year"": ""2025""}",employee
"I think I have some sick leave days remaining, can you check?",leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
What’s the summary of my leave balance for the year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
Can you provide me with my leave history for the last quarter?,leave_balance,leave_history,"{""year"": ""2025""}",employee
"I’d like to know about my upcoming approved leaves, if possible.",leave_balance,upcoming_approved_leaves,{},employee
Can you check my leave history for the last six months?,leave_balance,leave_history,{},employee
